State_Name,District_Name,Crop_Year,Season,Area (Hectare),Production (Tonnes),yield (Tonne/Hectare)
Arunachal Pradesh,ANJAW,2006,Whole Year,7.0,7.0,1.0
Arunachal Pradesh,ANJAW,2007,Whole Year,6.0,36.0,6.0
Arunachal Pradesh,ANJAW,2008,Whole Year,7.0,38.0,5.428571429
Arunachal Pradesh,ANJAW,2009,Whole Year,6.0,31.0,5.166666667
Arunachal Pradesh,CHANGLANG,1997,Rabi,230.0,4695.0,20.41304348
Arunachal Pradesh,CHANGLANG,1998,Whole Year,240.0,4650.0,19.375
Arunachal Pradesh,CHANGLANG,1999,Whole Year,255.0,4800.0,18.82352941
Arunachal Pradesh,CHANGLANG,2000,Whole Year,215.0,648.0,3.013953488
Arunachal Pradesh,CHANGLANG,2001,Whole Year,220.0,605.0,2.75
Arunachal Pradesh,CHANGLANG,2002,Whole Year,170.0,510.0,3.0
Arunachal Pradesh,CHANGLANG,2003,Whole Year,145.0,975.0,6.724137931
Arunachal Pradesh,CHANGLANG,2004,Whole Year,100.0,1600.0,16.0
Arunachal Pradesh,CHANGLANG,2005,Whole Year,214.0,1498.0,7.0
Arunachal Pradesh,CHANGLANG,2006,Whole Year,392.0,2779.0,7.089285714
Arunachal Pradesh,CHANGLANG,2007,Whole Year,426.0,4899.0,11.5
Arunachal Pradesh,CHANGLANG,2008,Whole Year,480.0,6211.0,12.93958333
Arunachal Pradesh,CHANGLANG,2009,Whole Year,545.0,7090.0,13.00917431
Arunachal Pradesh,CHANGLANG,2010,Whole Year,595.0,7740.0,13.00840336
Arunachal Pradesh,CHANGLANG,2011,Whole Year,620.0,8196.0,13.21935484
Arunachal Pradesh,CHANGLANG,2013,Whole Year,561.0,7097.0,12.65062389
Arunachal Pradesh,CHANGLANG,2014,Whole Year,586.0,7614.0,12.99317406
Arunachal Pradesh,DIBANG VALLEY,2000,Whole Year,100.0,2000.0,20.0
Arunachal Pradesh,DIBANG VALLEY,2001,Whole Year,80.0,1680.0,21.0
Arunachal Pradesh,DIBANG VALLEY,2012,Whole Year,25.0,163.0,6.52
Arunachal Pradesh,EAST KAMENG,1999,Whole Year,115.0,1600.0,13.91304348
Arunachal Pradesh,EAST KAMENG,2008,Whole Year,25.0,187.0,7.48
Arunachal Pradesh,EAST SIANG,1997,Rabi,118.0,4932.0,41.79661017
Arunachal Pradesh,EAST SIANG,1998,Whole Year,133.0,5616.0,42.22556391
Arunachal Pradesh,EAST SIANG,1999,Whole Year,140.0,5900.0,42.14285714
Arunachal Pradesh,EAST SIANG,2000,Whole Year,150.0,6100.0,40.66666667
Arunachal Pradesh,EAST SIANG,2001,Whole Year,160.0,6400.0,40.0
Arunachal Pradesh,EAST SIANG,2002,Whole Year,160.0,6500.0,40.625
Arunachal Pradesh,EAST SIANG,2003,Whole Year,160.0,6335.0,39.59375
Arunachal Pradesh,EAST SIANG,2004,Whole Year,15.0,150.0,10.0
Arunachal Pradesh,EAST SIANG,2005,Whole Year,160.0,6500.0,40.625
Arunachal Pradesh,EAST SIANG,2006,Whole Year,160.0,6500.0,40.625
Arunachal Pradesh,EAST SIANG,2007,Whole Year,179.0,7280.0,40.67039106
Arunachal Pradesh,EAST SIANG,2008,Whole Year,195.0,6619.0,33.94358974
Arunachal Pradesh,EAST SIANG,2009,Whole Year,240.0,9420.0,39.25
Arunachal Pradesh,EAST SIANG,2010,Whole Year,242.0,9514.0,39.31404959
Arunachal Pradesh,EAST SIANG,2011,Whole Year,241.0,9680.0,40.1659751
Arunachal Pradesh,EAST SIANG,2012,Whole Year,95.0,950.0,10.0
Arunachal Pradesh,EAST SIANG,2013,Whole Year,281.0,10257.0,36.50177936
Arunachal Pradesh,EAST SIANG,2014,Whole Year,306.0,10774.0,35.20915033
Arunachal Pradesh,KURUNG KUMEY,2002,Whole Year,25.0,330.0,13.2
Arunachal Pradesh,KURUNG KUMEY,2003,Whole Year,20.0,258.0,12.9
Arunachal Pradesh,KURUNG KUMEY,2004,Whole Year,82.0,1364.0,16.63414634
Arunachal Pradesh,KURUNG KUMEY,2012,Whole Year,98.0,2897.0,29.56122449
Arunachal Pradesh,LOHIT,1997,Rabi,15.0,105.0,7.0
Arunachal Pradesh,LOHIT,1998,Whole Year,15.0,105.0,7.0
Arunachal Pradesh,LOHIT,1999,Whole Year,15.0,108.0,7.2
Arunachal Pradesh,LOHIT,2000,Whole Year,16.0,110.0,6.875
Arunachal Pradesh,LOHIT,2001,Whole Year,16.0,160.0,10.0
Arunachal Pradesh,LOHIT,2002,Whole Year,16.0,160.0,10.0
Arunachal Pradesh,LOHIT,2003,Whole Year,15.0,150.0,10.0
Arunachal Pradesh,LOHIT,2004,Whole Year,10.0,200.0,20.0
Arunachal Pradesh,LOHIT,2005,Whole Year,16.0,176.0,11.0
Arunachal Pradesh,LOHIT,2006,Whole Year,20.0,133.0,6.65
Arunachal Pradesh,LOHIT,2007,Whole Year,20.0,130.0,6.5
Arunachal Pradesh,LOHIT,2008,Whole Year,21.0,134.0,6.380952381
Arunachal Pradesh,LOHIT,2009,Whole Year,30.0,190.0,6.333333333
Arunachal Pradesh,LOHIT,2010,Whole Year,31.0,202.0,6.516129032
Arunachal Pradesh,LOHIT,2011,Whole Year,31.0,209.0,6.741935484
Arunachal Pradesh,LOHIT,2013,Whole Year,27.0,178.0,6.592592593
Arunachal Pradesh,LOHIT,2014,Whole Year,52.0,695.0,13.36538462
Arunachal Pradesh,LOWER DIBANG VALLEY,2002,Whole Year,92.0,1880.0,20.43478261
Arunachal Pradesh,LOWER DIBANG VALLEY,2003,Whole Year,95.0,1900.0,20.0
