state_name,district_name,year,season,area_hectare,yield_t_ha,yield_tons_per_hectare,state,district,yield,ndvi_region,source_region,ndvi_mean,ndvi_max,ndvi_min,ndvi_std,variety,prev_year_yield,yield_3yr_avg,historical_avg_yield
Andhra Pradesh,ANANTAPUR,,Kharif,172.0,9971.511628,,Andhra Pradesh,Anantapur,9971.511628,,,,,,,Co 86032,9500.0,9971.511629333334,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Kharif,700.0,10414.28571,,Andhra Pradesh,Anantapur,10414.28571,,,,,,,Co 86032,9971.511628,9961.932445999999,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,700.0,9414.285714,,Andhra Pradesh,Anantapur,9414.285714,,,,,,,Co 86032,10414.28571,9933.361017333333,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,884.0,9403.393665,,Andhra Pradesh,Anantapur,9403.393665,,,,,,,Co 86032,9414.285714,9743.988363,5042.462115601579
Andhra Pradesh,ANANTAPUR,,Whole Year,284.0,8941.901408,,Andhra Pradesh,Anantapur,8941.901408,,,,,,,Co 86032,9403.393665,9253.193595666666,5042.462115601579
Andhra Pradesh,CHITTOOR,,Kharif,29600.0,93.75337838,,Andhra Pradesh,Chittoor,93.75337838,,,,,,,Co 86032,,93.75337838,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,34500.0,97.88405797,,Andhra Pradesh,Chittoor,97.88405797,,,,,,,Co 86032,93.75337838,95.818718175,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,44929.0,91.21053217,,Andhra Pradesh,Chittoor,91.21053217,,,,,,,Co 86032,97.88405797,94.28265617333334,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,40539.0,91.20701053,,Andhra Pradesh,Chittoor,91.20701053,,,,,,,Co 86032,91.21053217,93.43386688999999,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,38789.0,86.03598958,,Andhra Pradesh,Chittoor,86.03598958,,,,,,,Co 86032,91.20701053,89.48451075999999,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,39436.0,68.07701085,,Andhra Pradesh,Chittoor,68.07701085,,,,,,,Co 86032,86.03598958,81.77333698666666,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,26845.0,70.10199292,,Andhra Pradesh,Chittoor,70.10199292,,,,,,,Co 86032,68.07701085,74.73833111666667,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,21928.0,85.06899854,,Andhra Pradesh,Chittoor,85.06899854,,,,,,,Co 86032,70.10199292,74.41600077,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,22453.0,87.84701376,,Andhra Pradesh,Chittoor,87.84701376,,,,,,,Co 86032,85.06899854,81.00600173999999,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,37965.0,92.10999605,,Andhra Pradesh,Chittoor,92.10999605,,,,,,,Co 86032,87.84701376,88.34200278333333,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,30000.0,93.96666667,,Andhra Pradesh,Chittoor,93.96666667,,,,,,,Co 86032,92.10999605,91.30789216,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,26916.0,84.1090801,,Andhra Pradesh,Chittoor,84.1090801,,,,,,,Co 86032,93.96666667,90.06191427333334,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,27193.0,83.14937668,,Andhra Pradesh,Chittoor,83.14937668,,,,,,,Co 86032,84.1090801,87.07504115,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,27719.0,83.38475414,,Andhra Pradesh,Chittoor,83.38475414,,,,,,,Co 86032,83.14937668,83.54773697333333,4921.395021634634
Andhra Pradesh,CHITTOOR,,Whole Year,28405.0,90.72719592,,Andhra Pradesh,Chittoor,90.72719592,,,,,,,Co 86032,83.38475414,85.75377557999998,4921.395021634634
Andhra Pradesh,CHITTOOR,,Kharif,28106.0,88.63701701,,Andhra Pradesh,Chittoor,88.63701701,,,,,,,Co 86032,90.72719592,87.58298902333333,4921.395021634634
Andhra Pradesh,CHITTOOR,,Kharif,28152.0,91.03882495,,Andhra Pradesh,Chittoor,91.03882495,,,,,,,Co 86032,88.63701701,90.13434596,4921.395021634634
Andhra Pradesh,CHITTOOR,,Kharif,26147.0,79.0525108,,Andhra Pradesh,Chittoor,79.0525108,,,,,,,Co 86032,91.03882495,86.24278425333334,4921.395021634634
